,shortName,sector,industry,market,price,priceCurrency,sharesOutstanding,reportCurrency,fxRate,lastFiscalYearEnd,mostRecentQuarter,lastDividend,lastBuyback,totalAssets,currentAssets,currentLiabilities,totalAssets_-1,currentAssets_-1,currentLiabilities_-1,cashAndCashEquivalents,otherShortTermInvestments,cashAndCashEquivalents_-1,otherShortTermInvestments_-1,currentDebtAndCapitalLease,currentCapitalLease,currentDebtAndCapitalLease_-1,currentCapitalLease_-1,longTermDebtAndCapitalLease,longTermCapitalLease,longTermDebtAndCapitalLease_-1,longTermCapitalLease_-1,totalEquityAndMinorityInterest,commonStockEquity,totalEquityAndMinorityInterest_-1,commonStockEquity_-1,investmentProperties,longTermEquityInvestment,longTermFinancialAssets,investmentProperties_-1,longTermEquityInvestment_-1,longTermFinancialAssets_-1,netPPE,totalRevenue,costOfRevenue,sellingGeneralAndAdministration,netPPE_-1,totalRevenue_-1,costOfRevenue_-1,sellingGeneralAndAdministration_-1,netIncomeCommonStockholders,interestPaidCfo,interestPaidCff,netIncomeCommonStockholders_-1,interestPaidCfo_-1,interestPaidCff_-1,cfo,cfi,cff,endCashPosition,cfo_-1,cfi_-1,cff_-1,endCashPosition_-1
0001.HK,CKH HOLDINGS,Industrials,Conglomerates,hk_market,49.25,HKD,3830040064,HKD,1.0,1970-01-01 00:00:01.640908800,1656547200.0,2.5135507303142406,0.323495310570203,1137770000000.0,190655000000.0,151498000000.0,1213526000000.0,234489000000.0,181413000000.0,112315000000.0,0.0,153133000000.0,0.0,61299000000.0,13689000000.0,82969000000.0,16085000000.0,298302000000.0,57707000000.0,329191000000.0,68994000000.0,637117000000.0,518814000000.0,644255000000.0,525566000000.0,408000000.0,295726000000.0,13035000000.0,408000000.0,279125000000.0,13546000000.0,181082000000.0,280847000000.0,130414000000.0,30932000000.0,207951000000.0,266396000000.0,130188000000.0,19791000000.0,33484000000.0,-10577000000.0,0.0,29143000000.0,-10789000000.0,0.0,52184000000.0,-550000000.0,-54452000000.0,153133000000.0,73171000000.0,-6464000000.0,-47883000000.0,155951000000.0
0002.HK,CLP HOLDINGS,Utilities,Utilities—Regulated Electric,hk_market,57.70000076293945,HKD,2526449920,HKD,1.0,1970-01-01 00:00:01.640908800,1656547200.0,3.1000020772230465,0.0,260522000000.0,63367000000.0,64346000000.0,239809000000.0,33888000000.0,37798000000.0,3660000000.0,0.0,7900000000.0,61000000.0,13949000000.0,222000000.0,10729000000.0,217000000.0,48857000000.0,0.0,47703000000.0,0.0,120046000000.0,111035000000.0,126709000000.0,116921000000.0,943000000.0,17559000000.0,0.0,966000000.0,18243000000.0,915000000.0,145020000000.0,83959000000.0,57333000000.0,0.0,155662000000.0,79590000000.0,51554000000.0,0.0,8491000000.0,0.0,-1575000000.0,11456000000.0,0.0,-1820000000.0,18078000000.0,-11822000000.0,-8484000000.0,7900000000.0,22374000000.0,-10081000000.0,-10211000000.0,10158000000.0
0003.HK,HK & CHINA GAS,Utilities,Utilities—Regulated Gas,hk_market,7.71999979019165,HKD,18659899392,HKD,1.0,1970-01-01 00:00:01.640908800,1656547200.0,0.3390479159127934,0.0,164968100000.0,24156500000.0,35134800000.0,168067400000.0,24187900000.0,38533700000.0,10166100000.0,72700000.0,10557000000.0,77900000.0,16810100000.0,116200000.0,18707100000.0,103000000.0,41478000000.0,0.0,37215200000.0,223300000.0,78129900000.0,66173100000.0,81838800000.0,69810600000.0,849000000.0,47226300000.0,6914900000.0,849000000.0,48725100000.0,7218100000.0,71430700000.0,53563700000.0,32591800000.0,0.0,72522700000.0,40927000000.0,21986500000.0,0.0,5017000000.0,0.0,-1768000000.0,6007300000.0,0.0,-1497300000.0,10469500000.0,-12922000000.0,5395000000.0,10557000000.0,9910200000.0,-5989600000.0,-4520500000.0,7455000000.0
0004.HK,WHARF HOLDINGS,Real Estate,Real Estate—Development,hk_market,18.979999542236328,HKD,3056029952,HKD,1.0,1970-01-01 00:00:01.640908800,1656547200.0,0.39986519085006667,0.0,242629000000.0,65374000000.0,38822000000.0,253700000000.0,74178000000.0,38573000000.0,18404000000.0,0.0,23559000000.0,0.0,3035000000.0,0.0,3664000000.0,0.0,26246000000.0,0.0,33081000000.0,0.0,161950000000.0,157635000000.0,166377000000.0,162020000000.0,74799000000.0,34020000000.0,0.0,76525000000.0,35859000000.0,0.0,12347000000.0,22378000000.0,11064000000.0,2024000000.0,12967000000.0,20997000000.0,7379000000.0,1790000000.0,6019000000.0,-916000000.0,-2000000.0,3864000000.0,-1367000000.0,-1000000.0,2554000000.0,11314000000.0,-7414000000.0,23559000000.0,10268000000.0,-14217000000.0,-5510000000.0,16668000000.0
0005.HK,HSBC HOLDINGS,Financial Services,Banks—Diversified,hk_market,58.20000076293945,HKD,19968299008,USD,7.849596659342448,1970-01-01 00:00:01.640908800,1664496000.0,0.31965667167958306,0.2775899939088092,2991965000000.0,0.0,0.0,2985420000000.0,0.0,0.0,309505000000.0,0.0,371681000000.0,0.0,0.0,0.0,0.0,0.0,87527000000.0,0.0,108655000000.0,0.0,185993000000.0,177659000000.0,196690000000.0,188382000000.0,0.0,0.0,0.0,0.0,29446000000.0,0.0,0.0,63644000000.0,0.0,11592000000.0,0.0,62883000000.0,0.0,11115000000.0,12607000000.0,0.0,0.0,3898000000.0,0.0,0.0,104312000000.0,27536000000.0,-10794000000.0,574032000000.0,182220000000.0,-22430000000.0,-4643000000.0,468323000000.0
0006.HK,POWER ASSETS,Utilities,Utilities—Independent Power Producers,hk_market,43.650001525878906,HKD,2131110016,HKD,1.0,1970-01-01 00:00:01.640908800,1656547200.0,2.8243497308024477,0.0,94778000000.0,5004000000.0,4277000000.0,94304000000.0,4963000000.0,3554000000.0,4094000000.0,0.0,4610000000.0,0.0,2000000.0,2000000.0,2000000.0,2000000.0,3359000000.0,3000000.0,3436000000.0,3000000.0,86760000000.0,86760000000.0,86767000000.0,86767000000.0,0.0,86858000000.0,1100000000.0,0.0,87135000000.0,1100000000.0,19000000.0,1276000000.0,0.0,0.0,20000000.0,1270000000.0,0.0,0.0,6140000000.0,-153000000.0,0.0,6132000000.0,-91000000.0,0.0,939000000.0,5931000000.0,-6016000000.0,4241000000.0,962000000.0,5134000000.0,-5979000000.0,3388000000.0
0007.HK,WISDOM WEALTH,Technology,Electronics & Computer Distribution,hk_market,0.09200000017881393,HKD,5804279808,HKD,1.0,1970-01-01 00:00:01.640908800,1656547200.0,0.0,0.0,6295881000.0,2746497000.0,1522395000.0,5513382000.0,2822879000.0,906745000.0,52359000.0,0.0,31859000.0,0.0,391886000.0,2959000.0,405888000.0,1388000.0,12412000.0,0.0,21444000.0,0.0,4205908000.0,4193532000.0,4103865000.0,4091298000.0,3416505000.0,0.0,972000.0,2536919000.0,0.0,990000.0,129857000.0,522404000.0,464527000.0,58937000.0,133604000.0,1013168000.0,980513000.0,64428000.0,267895000.0,-45024000.0,0.0,-211940000.0,-20319000.0,0.0,-237626000.0,171062000.0,76843000.0,31948000.0,59214000.0,-166247000.0,106472000.0,20610000.0
0008.HK,PCCW,Communication Services,Telecom Services,hk_market,3.9100000858306885,HKD,7739639808,HKD,1.0,1970-01-01 00:00:01.640908800,1656547200.0,0.3377418154909568,0.0,93254000000.0,18595000000.0,22635000000.0,94223000000.0,18621000000.0,21615000000.0,2194000000.0,471000000.0,4564000000.0,472000000.0,5088000000.0,1123000000.0,3539000000.0,1120000000.0,46977000000.0,1143000000.0,45677000000.0,1273000000.0,12401000000.0,11908000000.0,15482000000.0,14363000000.0,0.0,1984000000.0,3520000000.0,0.0,2492000000.0,3196000000.0,28870000000.0,38654000000.0,21269000000.0,4327000000.0,28536000000.0,38046000000.0,20496000000.0,4884000000.0,1039000000.0,0.0,-1193000000.0,-1020000000.0,0.0,-1345000000.0,9704000000.0,-7620000000.0,-1569000000.0,4564000000.0,12695000000.0,-7538000000.0,-6467000000.0,4081000000.0
0009.HK,KEYNE LTD,Real Estate,Real Estate—Development,hk_market,0.03200000151991844,HKD,3568790016,HKD,1.0,1970-01-01 00:00:01.640908800,1656547200.0,0.0,0.0,3349457000.0,2555873000.0,3658637000.0,3743062000.0,2920689000.0,3936940000.0,7596000.0,0.0,12437000.0,0.0,1695721000.0,3307000.0,1745276000.0,1096000.0,28617000.0,5051000.0,19431000.0,0.0,-491173000.0,-491173000.0,-373393000.0,-373393000.0,190114000.0,253559000.0,0.0,198727000.0,254175000.0,0.0,348780000.0,18327000.0,2547000.0,89838000.0,367970000.0,80466000.0,66797000.0,77384000.0,-537362000.0,0.0,-201148000.0,-597189000.0,0.0,-24000000.0,200444000.0,-23940000.0,-201450000.0,12437000.0,-106637000.0,-88849000.0,225134000.0,9687000.0
0010.HK,HANG LUNG GROUP,Real Estate,Real Estate—Diversified,hk_market,14.720000267028809,HKD,1361619968,HKD,1.0,1970-01-01 00:00:01.672444800,1672444800.0,0.8401756928406032,0.0,230026000000.0,20274000000.0,13627000000.0,238021000000.0,23506000000.0,19451000000.0,5401000000.0,0.0,9140000000.0,0.0,3619000000.0,29000000.0,8110000000.0,31000000.0,41593000000.0,285000000.0,38109000000.0,305000000.0,159346000000.0,93953000000.0,164487000000.0,95842000000.0,203417000000.0,4553000000.0,0.0,208981000000.0,3729000000.0,94000000.0,270000000.0,10919000000.0,3112000000.0,618000000.0,286000000.0,9526000000.0,2646000000.0,559000000.0,2589000000.0,0.0,-1440000000.0,-1541000000.0,0.0,-1392000000.0,3043000000.0,-1440000000.0,1819000000.0,9016000000.0,3761000000.0,-2208000000.0,2064000000.0,5508000000.0
